design,arm,rep,n_events,lag_set_m,Q_v,p_v,Q_z,p_z,acf_v_lag,acf_z_lag,reject_0.05_v,reject_0.05_z
D10,primary,35,117,10,7.875107686823275,0.6410348443233173,6.77136188268376,0.7468390900805941,0.0399233024703544,0.01956328631620142,False,False
D10,primary,36,145,1,0.20426568530929165,0.6512995174057661,0.0004575388834045587,0.9829344240991243,0.037148072568369245,-0.0017581364647748824,False,False
D10,primary,36,145,2,0.25142644060998337,0.8818677122769029,0.9299793628535349,0.6281415866811635,0.017787533302301345,-0.07896872856036118,False,False
D10,primary,36,145,5,0.5310847814241231,0.9909408305764491,2.2156929981964546,0.8185660048160773,0.014123890835090167,0.07777564708901627,False,False
D10,primary,36,145,10,9.808721348235665,0.4574322004073881,13.15391800349132,0.21519298913962692,-0.03757519266848335,0.034240799404796116,False,False
D10,primary,37,114,1,0.0012820080928001303,0.9714377340974365,0.013785678220265253,0.9065332361678943,0.0033098109225290838,-0.010853551467993728,False,False
D10,primary,37,114,2,0.35635670022315785,0.8367931680244137,2.8535024612484943,0.24008764600371624,-0.05483873784723866,-0.15508332549887172,False,False
D10,primary,37,114,5,5.175180395578021,0.394877371962723,10.60092406562832,0.05989246083025801,-0.07406914735443366,-0.09694672557897334,False,False
D10,primary,37,114,10,6.98575951096647,0.7267886557294148,12.455689651187463,0.25571538791648685,-0.034527143557611314,-0.03364608575616668,False,False
D10,primary,38,112,1,0.05104523165919856,0.8212543724601478,1.251434510770836,0.263278670281445,-0.021065784735226214,0.10430475710136994,False,False
D10,primary,38,112,2,0.06486203601043095,0.9680892282541196,1.4297938211669543,0.48924254492522057,-0.010910350671396191,-0.03919970492084533,False,False
D10,primary,38,112,5,1.011377448176528,0.9616428930112384,5.003300149491649,0.4154775646607145,-0.003702157280496458,-0.10274838537132565,False,False
D10,primary,38,112,10,3.7731055465834853,0.9570026196930446,8.984061521455187,0.5336168654403388,-0.09158856362113688,-0.1119545086377904,False,False
D10,primary,39,132,1,2.8168240030998506,0.09328081048054404,3.16842326753093,0.07507489108145027,0.14443622843479606,0.1531855781411496,False,False
D10,primary,39,132,2,3.106996298197566,0.21150679589965038,3.416221643227467,0.18120780332124498,-0.04618067577154284,-0.04267578701568181,False,False
D10,primary,39,132,5,4.621477701810459,0.46379644459864555,4.507498805753652,0.47888075098995386,0.0003895263538137994,0.04424366808542602,False,False
D10,primary,39,132,10,10.954506702434736,0.3610733340489223,9.534996376317643,0.48219089154290584,0.05551881591047305,0.03127828479972407,False,False
D10,primary,40,134,1,0.6901538814935498,0.40611204484931784,0.06043495410615285,0.8058097939298796,0.07097034796063298,-0.021001391232970186,False,False
D10,primary,40,134,2,1.1122125715883635,0.5734375243739416,1.3617844371136767,0.5061651808710634,-0.055290629635095616,-0.09708722413965275,False,False
D10,primary,40,134,5,7.605855677956277,0.1793372836917676,4.766507155826876,0.44503537595465903,0.0799454975611152,0.09530614585386347,False,False
D10,primary,40,134,10,13.880585288434142,0.1785085000307869,8.138465599963348,0.6153138212682007,0.16469397048027085,0.09286047319970817,False,False
D10,primary,41,116,1,0.0013264977674823817,0.9709465763740738,1.1362433774607779,0.28644752247125704,-0.0033383524327517664,-0.09770450850634081,False,False
D10,primary,41,116,2,0.9484577251524365,0.6223648002557729,2.499198940549192,0.2866195735320035,0.08881524236629779,0.10654259628939626,False,False
D10,primary,41,116,5,4.018293790406675,0.5467851091034326,8.028672837139018,0.15466247480690343,0.08216187912700045,0.12600288595145623,False,False
D10,primary,41,116,10,5.289328374254589,0.8710316832314421,10.717550442631577,0.37994266962473877,0.033593010593186805,0.12322201985847744,False,False
D10,primary,42,95,1,1.1850829428197447,0.27632363346720934,3.7962136753309745,0.05136861973129436,0.10994883465751429,0.19678481448044804,False,False
D10,primary,42,95,2,1.3083595734565823,0.5198682906357215,3.8200315028173977,0.14807805413914266,-0.03527233271492008,0.015504039892327777,False,False
D10,primary,42,95,5,2.5976512323201764,0.761722102271821,4.883614949758512,0.4302486160665303,0.010576944353847165,0.008894174882824808,False,False
D10,primary,42,95,10,9.813485693125283,0.4570065438471236,7.105556046380569,0.7154436600231688,0.030853159463628543,0.030177243571734055,False,False
